candidate_id,llm_score,llm_reasoning
"CAND_0000467",3,"The candidate has relevant experience in software engineering and QA, which aligns with the role of Senior AI Engineer. However, there are notable gaps in specific areas such as deep technical depth in modern ML systems, scrappy product-engineering attitude, and experience with embeddings-based retrieval systems, vector databases, and evaluation frameworks."
"CAND_0000470",4,"The candidate has relevant industry experience as an HR Manager with 14.2 years of experience in marketing and process improvement roles. While their current role is not directly aligned with the Senior AI Engineer position, their extensive background in process optimization and stakeholder management aligns with the need for a strong product engineering mindset. Additionally, the candidate has experimented with AI tools such as ChatGPT, indicating they are familiar with the space and could potentially bridge the gap between their current experience and the AI engineering role."
"CAND_0000507",3,"The candidate has relevant experience in software engineering and has worked on cloud infrastructure and DevOps, which aligns with the role of Senior AI Engineer. However, the candidate lacks deep technical depth in modern ML systems such as embeddings, retrieval, ranking, LLMs, fine-tuning, and has not done it in a professional capacity yet."
"CAND_0000589",3,"The candidate has relevant industry experience as a Content Writer and has experimented with AI tools like ChatGPT. However, they lack direct experience with modern ML systems such as embeddings, retrieval, ranking, and fine-tuning, which are key components of the job description."
"CAND_0000599",4,"The candidate has relevant experience in software engineering and QA roles, particularly in cloud and fintech domains. They have a strong background in software development and system design, which aligns with the need for a senior AI engineer. While they lack direct experience in AI and ML, their self-learner status and some exposure to AI/ML through online courses suggest they could quickly catch up. Their current role as QA Engineer and past experience in front-end engineering also align with the JD's emphasis on product and recruiter workflows."
"CAND_0000600",3,"The candidate has relevant experience in software engineering and cloud systems, but lacks deep technical depth in modern ML systems such as embeddings, retrieval, and LLMs. Additionally, she has not contributed a production deployment in a professional setting."
"CAND_0000611",4,"The candidate has relevant experience in cloud and DevOps systems, self-learns AI/ML, and builds small RAG side projects. However, they lack direct experience in AI/ML systems and fine-tuning LLMs."
"CAND_0000629",3,"The candidate has relevant industry experience as an AI engineer and has experimented with AI tools such as ChatGPT. However, their background is primarily in accounting and IT, lacking direct experience with AI systems and specific skills required for the Redrob role."
"CAND_0000665",4,"The candidate has relevant experience in software engineering and data engineering, which aligns with the role of Senior AI Engineer. While they lack direct experience with AI/ML systems, their extensive background in data pipelines and analytics infrastructure, along with their interest in transitioning towards more AI-focused work, suggests they could adapt to the role with additional training and learning."
"CAND_0000676",3,"The candidate has relevant industry experience as a Civil Engineer and has experimented with AI tools like ChatGPT. However, she lacks direct experience in AI and machine learning systems, which is a key requirement for the role."
"CAND_0000715",4,"The candidate has relevant experience in cloud and devops systems, self-learns AI/ML, and builds small RAG side projects. However, they lack direct experience in embeddings-based retrieval systems, vector databases, and fine-tuning LLMs."
"CAND_0000718",3,"The candidate has relevant experience in cloud and devops systems, and has taken some self-learner AI/ML courses. However, they lack direct experience in AI/ML systems and fine-tuning, which are key requirements for the role."
"CAND_0000729",3,"The candidate has relevant industry experience as a Content Writer and has experimented with AI tools like ChatGPT. However, there are notable gaps in their specific AI engineering skills and experience, particularly in fine-tuning and LLM-based re-ranking."
"CAND_0000753",4,"The candidate has relevant industry experience as a Marketing Manager and has experimented with AI tools such as ChatGPT. However, their experience is primarily in the software industry and they lack direct experience with AI and ML systems."
"CAND_0000785",4,"The candidate has relevant industry experience as a Mechanical Engineer and has worked as an HR Manager, which aligns with the JD's requirement for a background in the same industry. Additionally, the candidate has a strong understanding of Excel and Apache Beam, which are mentioned in the JD. However, there are notable gaps in the candidate's experience with AI tools and fine-tuning, as well as their experience with embeddings-based retrieval systems."
"CAND_0000813",3,"The candidate has relevant experience in software engineering and cloud systems, but lacks direct experience in AI/ML systems and fine-tuning. Additionally, their current role as a Cloud Engineer might not align perfectly with the Founding Team's specific AI focus."
"CAND_0000829",3,"The candidate is relevant to the industry and has experience as an HR Manager, which aligns with the JD's requirement for a Senior AI Engineer with 5-9 years of experience. However, the candidate lacks specific AI and engineering skills, as evidenced by the fact that they have not written production code in 18 months and have only experimented with ChatGPT and other productivity tools."
"CAND_0000846",4,"The candidate has relevant experience as an HR Manager and Sales Executive in the IT Services industry, which aligns with the job description. However, there are notable gaps in specific skills such as deep technical knowledge in modern ML systems, fine-tuning, and embeddings, as well as hands-on experience with vector databases and hybrid search infrastructure."
"CAND_0000852",4,"The candidate has a strong background in software engineering and data engineering, which aligns with the need for a senior AI engineer. While they lack direct experience with modern ML systems such as embeddings, retrieval, and fine-tuning, their extensive experience in data pipelines, backend systems, and analytics infrastructure suggests they could adapt their skills to meet the role's requirements. Additionally, their proficiency in languages like Python, SQL, and Kubeflow, as well as their experience with fine-tuning LLMs, indicate they have the necessary foundational knowledge to potentially fill the role."
"CAND_0000945",4,"The candidate has relevant experience in software development and cloud systems, which aligns with the role of Senior AI Engineer. They have a strong background in software engineering and system design, which is crucial for the role. Additionally, the candidate has experience with cloud deployments and has worked on the customer onboarding flow, which is beneficial for the job. However, there are some gaps such as no direct experience with AI/ML systems and no fine-tuning or LLM-based re-ranking experience."
"CAND_0000977",3,"The candidate has relevant experience in software engineering and has built a small RAG side project, which aligns with the JD's requirement for a strong product-engineering attitude. However, the candidate lacks deep technical depth in modern ML systems such as embeddings, retrieval, and LLMs, which is a key requirement for the role."
"CAND_0001001",4,"The candidate has relevant experience in data engineering and has worked on data pipelines and analytics infrastructure, which aligns with the role of Senior AI Engineer mentioned in the job description. While the candidate lacks direct experience with modern machine learning systems and fine-tuning, their extensive background in data engineering and their understanding of modern ML systems suggest they could adapt to the role with additional training."
"CAND_0001068",3,"The candidate has relevant experience in software engineering and cloud systems, but lacks deep technical depth in modern ML systems such as embeddings, retrieval, and fine-tuning. Additionally, the candidate has not demonstrated substantial pre-LLM-era ML production experience."
"CAND_0001097",4,"The candidate has relevant experience in marketing and civil engineering, which aligns with the need for a senior AI engineer. While the candidate lacks direct AI engineering experience, their background in cross-functional roles and experimentation with AI tools such as ChatGPT suggest they can adapt to the role. The key gaps are in deep technical depth in modern ML systems and scrappy product-engineering attitude."
"CAND_0001126",4,"The candidate has relevant experience in applied machine learning, NLP, and production ML systems. They have built NLP-based classification and information extraction pipelines and worked XGBoost models. While their current role is junior, they have 4.9 years of experience in the field. The candidate's background aligns well with the JD's requirement for a senior AI engineer with deep technical depth in modern ML systems and a scrappy product-engineering attitude."
"CAND_0001133",4,"The candidate has relevant experience in software engineering and data warehousing, which aligns with the role of Senior AI Engineer. While they lack direct experience in AI and ML, their extensive background in data engineering and their ability to transition towards more AI-focused work make them a strong fit for the role."
"CAND_0001151",4,"The candidate has relevant experience in applied machine learning and has worked on predictive modeling for customer-facing problems such as churn and lifetime value. They have a strong background in statistical modeling and have used ML experience, which aligns with the JD's requirement for a senior AI engineer with deep technical depth in modern ML systems."
"CAND_0001174",4,"The candidate has relevant experience as a Marketing Manager with 8.4 years of experience in the Manufacturing industry. They have strong background in stakeholder management, structured problem-solving, and consulting toolkit. While they lack deep technical depth in AI, their experimentation with ChatGPT suggests they are familiar with the space. The gaps are mainly in their direct AI engineering experience and fine-tuning skills."
"CAND_0001212",3,"The candidate has relevant industry experience as a Data Engineer with 4.9 years of experience in data engineering and some ML exposure. However, there are notable gaps in specific skills such as fine-tuning LLMs, embeddings-based retrieval, and vector database operations."
"CAND_0001226",3,"The candidate has relevant experience in customer support roles and has experimented with AI tools, aligning with the JD's requirement for a senior AI engineer with 5-9 years of experience. However, the candidate lacks deep technical depth in modern ML systems such as embeddings, retrieval, ranking, and fine-tuning, which are key requirements for the role."
"CAND_0001241",4,"The candidate has relevant experience in backend engineering and data infrastructure, which aligns with the role of Senior AI Engineer. While they lack direct experience in AI/ML systems, their extensive background in data engineering and ML projects, along with their comfortability with modern ML practices, suggest they could quickly adapt to the role."
"CAND_0001248",4,"The candidate has relevant experience in data engineering and has built data warehouses, ETL pipelines, and BI integrations. They are interested in transitioning towards more AI/ML-focused work, which aligns with the JD's requirement for someone who understands modern ML practices. However, there are notable gaps in their direct AI/ML experience and their current role is not exclusively focused on AI/ML."
"CAND_0001314",4,"The candidate has relevant experience as a Senior Data Engineer with 6.9 years of experience in data engineering and has built a data warehouse at Razorpay. However, the candidate lacks direct experience in AI/ML systems and fine-tuning models, which are key requirements for the role."
"CAND_0001337",4,"The candidate has relevant experience in backend engineering and data pipelines, which aligns with the role of Senior AI Engineer. They have a Ph.D. in Statistics and have worked Fine-tuning LLMs, ASR, and Feature Engineering skills, which are mentioned in the job description. However, they lack direct experience with embeddings, retrieval, and ranking systems, which are key components of the role."
"CAND_0001343",3,"The candidate has relevant experience in software engineering and QA, but lacks deep technical depth in modern machine learning systems and fine-tuning. Additionally, the candidate has not contributed a production deployment environment, which is a disqualifier."
"CAND_0001405",4,"The candidate has relevant experience in applied machine learning and data science, particularly in recommendation-style features and collaborative filtering. However, they lack direct experience with LLMs and fine-tuning, which are key components of the job description."
"CAND_0001467",4,"The candidate has relevant experience as an HR Manager with 11.7 years of experience in the IT Services industry. They have strong engagement with AI tools such as ChatGPT and have experimented with AI in their current role. However, their primary role is in HR and they lack direct experience with AI engineering and ranking systems."
"CAND_0001529",4,"The candidate has relevant experience in software engineering and QA, particularly in web and cloud systems. While lacking direct AI/ML experience, they have self-learnted AI concepts and built a small RAG side project. Their background fits the need for a strong technical fit in the AI engineering role."
"CAND_0001577",3,"The candidate has relevant industry experience as a Marketing Manager with 11.6 years of experience in IT Services. However, the role requires deep technical depth in modern ML systems, embeddings, retrieval, and fine-tuning, which the candidate's background in marketing and experimentation with ChatGPT suggests they might lack."
"CAND_0001581",4,"The candidate has relevant experience in data engineering and backend systems, which aligns with the role of Senior AI Engineer. They have built data pipelines and analytics infrastructure, and have worked a couple of self-directed ML projects. However, they lack direct experience with modern ML systems such as embeddings, retrieval, and fine-tuning, which are key components of the role."
"CAND_0001587",4,"The candidate has relevant experience in software engineering and has worked on various systems including REST APIs and cloud deployments. However, they lack direct experience in AI/ML systems and fine-tuning, which are key requirements for the role."
"CAND_0001601",3,"The candidate has relevant experience in cloud and backend systems and has taken some self-learner AI/ML courses. However, they lack direct experience in AI/ML systems and fine-tuning, which are key requirements for the role."
"CAND_0001610",4,"The candidate has a strong background in applied machine learning and has built several real-world systems, particularly a semantic search infrastructure using sentence-transformers and FAISS. They have experience in various relevant areas such as NLP, recommendation systems, and applied AI. While there are some gaps in their specific experience with LLM fine-tuning and reinforcement learning, their overall fit aligns well with the requirements of the role."
"CAND_0001622",3,"The candidate has relevant industry experience as a marketer and has experimented with AI tools, but lacks direct experience in AI engineering and fine-tuning."
"CAND_0001626",3,"The candidate has relevant experience in software engineering and cloud infrastructure, which aligns with the role of Senior AI Engineer. However, the candidate lacks deep technical depth in modern ML systems such as embeddings, retrieval, and LLMs, which are crucial for the role. Additionally, the candidate has not contributed any production code in the last 18 months, which is a requirement for the role."
"CAND_0001640",4,"The candidate has relevant experience in cloud and devops systems, self-learns AI/ML, and builds small RAG side projects. However, there are notable gaps in production deployment of embeddings-based retrieval systems, vector databases, and fine-tuning LLMs. Additionally, the candidate lacks direct experience with evaluation frameworks for ranking systems."
"CAND_0001684",3,"The candidate has relevant experience in software engineering and cloud systems, which aligns with the role of Senior AI Engineer. However, they lack deep technical depth in modern ML systems such as embeddings, retrieval, and LLMs, which are crucial for the Founding Team Company's platform."
"CAND_0001704",4,"The candidate has relevant experience as a Graphic Designer with 12.5 years of experience in the Software industry. Her background aligns well with the Founding Team Company's need for a Senior AI Engineer. While her current role is not in AI, her extensive experience in the Software industry and her experimentation with AI tools suggest she would be able to adapt to the Founding Team Company's requirements."
"CAND_0001709",3,"The candidate has relevant industry experience as a Marketing Manager and has experimented with AI tools such as ChatGPT. However, their background is primarily in manufacturing and software, lacking direct experience in AI and AI-native talent intelligence platforms."
"CAND_0001730",3,"The candidate has relevant experience as a Civil Engineer with 4.5 years of experience in a software-related field, which aligns with the 'Founding Team Company' context. However, the candidate lacks specific AI and ML skills, as evidenced by the fact that they have only experimented with ChatGPT and other productivity tools. Additionally, the candidate's background in sales and content writing does not fully align with the 'scrappy product-engineering attitude' mentioned in the job description."
"CAND_0001773",3,"The candidate has relevant experience in software engineering and has taken some AI-related courses, but lacks direct experience in AI/ML systems and fine-tuning. Additionally, she has not contributed a previous role in AI/ML."
"CAND_0001779",4,"The candidate has relevant industry experience as an Operations Manager in a manufacturing company, which aligns with the JD's requirement for a Senior AI Engineer role. While the candidate lacks direct AI engineering experience, they have a strong background in cross-functional collaboration and execution, which is crucial for the role. Additionally, their extensive experience in SQL and Spring Boot, along with their proficiency in English and Hindi, meet the required skills. The notable gaps are in their lack of direct AI engineering experience and their open-ended work history."
"CAND_0001808",4,"The candidate has relevant experience as an ML Engineer and Data Scientist, with 3.8 years of experience in applied machine learning. They have worked depth in modeling and analysis, using tools such as scikit-learn, pandas, and standard MLOps tooling. While they lack direct production experience, their background in predictive modeling and time-series forecasting aligns with the JD's requirement for end-to-end ownership of ML systems."
"CAND_0001861",4,"The candidate has relevant experience as a Marketing Manager with 13.9 years of experience in a software company. They have strong background in cross-functional collaboration, stakeholder management, and execution. While their current role is not directly related to AI, their extensive experience in managing content and stakeholders aligns with the JD's requirement of applying domain expertise alongside emerging AI capabilities. Additionally, their experimentation with ChatGPT suggests they are familiar with AI tools and could potentially adapt their skills to the role."
"CAND_0001881",4,"The candidate has relevant experience as an HR Manager with 10.9 years of experience in the software industry. Her background aligns with the JD's requirement of having strong domain expertise in HR and applying it alongside emerging AI capabilities. While her current role is not as an AI Engineer, her HR background and the ability to experiment with AI tools such as ChatGPT suggest she can adapt to the role."
"CAND_0001921",4,"The candidate has relevant experience in marketing and IT, which aligns with the role of Senior AI Engineer. However, there are notable gaps in specific AI skills such as embeddings, retrieval, and fine-tuning LLMs, which are crucial for the role."
"CAND_0001967",3,"The candidate has relevant experience in software engineering and has built a small RAG side project, which aligns with the JD's requirement for a background in software engineering. However, the candidate lacks deep technical depth in modern ML systems such as embeddings, retrieval, and LLMs, which are key components of the role."
"CAND_0002006",4,"The candidate has relevant experience in software engineering and QA, particularly in web and cloud systems. They have a strong background in software development and system design, which aligns with the JD's requirement for a senior AI engineer. While they lack direct experience in AI/ML, their self-learner status and some online course completion suggest they are familiar with the concepts. The current role as QA Engineer fits the JD's requirement for a senior AI engineer."
"CAND_0002025",4,"The candidate has relevant experience in AI and ML systems, particularly in search and retrieval. They have built and shipped production recommendation systems and fine-tuned LLaMA-2-7B and Mistral-7B variants. However, they lack direct experience with production embeddings-based retrieval systems and vector databases."
"CAND_0002149",4,"The candidate has relevant experience in a similar domain (Operations Management) and has worked on projects involving scaling processes and teams. However, the candidate lacks direct experience in AI and machine learning systems, which is a key requirement for the role. Additionally, the candidate's current role as Operations Manager does not align perfectly with the specific responsibilities outlined in the job description, such as developing and implementing AI-driven solutions."
"CAND_0002249",3,"The candidate has relevant experience in software development and cloud systems, which aligns with the job description. However, there are notable gaps in specific areas such as fine-tuning LLMs, embedding-based retrieval, and vector database operations, which are crucial for the role."
"CAND_0002251",3,"The candidate has relevant industry experience as a professional with 11.1+ years of experience in various roles, including operations management and customer support. However, the candidate lacks direct experience in AI and machine learning systems, which is a key requirement for the role."
"CAND_0002371",3,"The candidate has relevant experience in software engineering and data infrastructure, but lacks direct experience in AI/ML systems and fine-tuning, which are key requirements for the role."
"CAND_0002403",3,"The candidate has relevant experience in data engineering and has participated a few ML projects, which aligns with the JD's requirement for a senior AI engineer with 5-9 years of experience in modern ML systems such as embeddings, retrieval, ranking, LLMs, fine-tuning. However, there are notable gaps in their product-engineering attitude and experience, as well as their fine-tuning and LLM-based re-ranking skills."
"CAND_0002472",4,"The candidate has relevant industry experience as a Marketing Manager with 13 years of experience and has experimented with AI tools such as ChatGPT. However, there are notable gaps in specific skills like production code writing and fine-tuning LLMs, which are crucial for the role."
"CAND_0002519",3,"The candidate has relevant industry experience as an Operations Manager and has 9.1 years of experience, which aligns with the requirement of 5-9 years of experience mentioned in the job description. However, the candidate lacks specific AI and ML skills and experience, as they have not written production code in the last 18 months and have not written production code in an AI/ML context."
"CAND_0002531",3,"The candidate has relevant experience in software engineering and QA, but lacks direct experience in AI/ML systems and fine-tuning. Additionally, the candidate has a moderate understanding of embeddings and retrieval systems."
"CAND_0002534",4,"The candidate has relevant experience as an HR Manager with 2.2 years of experience in a functional role. She has taken online courses on RAG and experimented with LangChain, indicating interest in AI technologies. However, her background is predominantly in functional management rather than AI engineering, which is a notable gap."
"CAND_0002559",4,"The candidate has relevant experience in backend software engineering and data analytics, which aligns with the role of Senior AI Engineer. While she lacks direct experience in AI and ML, her extensive background in data pipelines, backend systems, and analytics infrastructure makes her a strong fit for the role. Her proficiency in languages such as Python, SQL, and Spark, as well as her experience with frameworks like Airflow and Looker, are consistent with the JD's emphasis on data pipelines and infrastructure. Additionally, her strong GitHub activity and numerous skill endorsements in data engineering and modeling support the fit for the role."
"CAND_0002605",3,"The candidate has relevant experience in software engineering and cloud technologies, which aligns with the role of Senior AI Engineer. However, the candidate lacks deep technical depth in modern ML systems such as embeddings, retrieval, ranking, and fine-tuning, which are key requirements for the role."
"CAND_0002610",4,"The candidate has relevant experience in applied machine learning, particularly in recommendation-style features and collaborative filtering. They have worked ASR, Pinecone, LLMs, and PostgreSQL skills, which align with the job requirements. However, they lack direct experience with embeddings-based retrieval systems and vector databases, which are explicitly mentioned in the job description."
"CAND_0002620",4,"The candidate has relevant experience in data engineering and has built data pipelines and analytics infrastructure. They have a strong background in data science and machine learning, as evidenced by their self-directed ML projects. However, they lack direct experience with modern machine learning frameworks and LLMs, which are key components of the job description."
"CAND_0002654",4,"The candidate has relevant industry experience as an Operations Manager in Manufacturing and has experimented with AI tools like ChatGPT. However, she lacks direct experience in AI and ML systems, which is a key requirement."
"CAND_0002692",3,"The candidate has relevant industry experience as a Data Engineer and has built data pipelines and analytics infrastructure. However, she lacks direct experience in AI/ML systems and fine-tuning models, which are key requirements for the role."
"CAND_0002706",4,"The candidate has relevant experience in applied machine learning and has worked on various models such as time series, reinforcement learning, and churn prediction. However, the candidate lacks direct experience with embeddings-based retrieval systems and vector databases, which are key requirements for the role."
"CAND_0002731",3,"The candidate has relevant industry experience as a Graphic Designer with 14.2 years of experience and has worked on stakeholder management and execution in a consulting firm. However, the candidate lacks direct experience in AI and ML systems, which is a key requirement for the role."
"CAND_0002771",3,"The candidate has relevant experience in a similar domain (HR) and has worked on AI-related projects in the past. However, the candidate lacks direct experience in AI engineering and fine-tuning, which are crucial for the role. Additionally, the candidate's current role as an HR Manager does not align with the specific responsibilities outlined in the job description."
"CAND_0002854",4,"The candidate has relevant industry experience as a Content Writer and Marketing Manager, which aligns with the JD's requirement for a professional with 10.7+ years of experience in a similar role. While there are gaps in specific skills such as fine-tuning LLMs and deploying embeddings-based retrieval systems, the candidate's background in marketing and content creation provides a strong foundation for understanding the importance of these areas."
"CAND_0002919",3,"The candidate has relevant experience in software engineering and has worked on web and cloud systems, which aligns with the role of Senior AI Engineer. However, they lack deep technical depth in modern ML systems such as embeddings, retrieval, and LLMs, which are crucial for the role."
"CAND_0002922",3,"The candidate has relevant experience as an HR Manager in a Manufacturing company, which aligns with the JD's requirement of having experience in a similar domain. However, the candidate lacks direct experience in AI and machine learning, which is essential for the role of Senior AI Engineer."
"CAND_0002953",4,"The candidate has relevant industry experience as a Business Analyst with 15 years of experience and has taken online courses on RAG and experimented with LangChain. However, the gaps noted are in the specific skills required for the role such as production experience with embeddings-based retrieval systems and vector databases."
"CAND_0002967",4,"The candidate has relevant experience as a HR Manager with 15 years of experience in the software industry, which aligns with the JD's requirement of having strong product/engineering attitude. While the candidate lacks direct AI engineering experience, their background in managing teams and driving business outcomes in the software industry suggests they would be able to contribute to the product and engineering aspects of the role. Additionally, the candidate's interest in experimenting with AI tools such as ChatGPT indicates they are open to learning and applying new technologies."
"CAND_0003002",3,"The candidate has relevant experience in software engineering and QA, but lacks deep technical depth in modern ML systems such as embeddings, retrieval, and LLMs. Additionally, the candidate has not shipped to a professional ML-related role."
"CAND_0003008",4,"The candidate has relevant industry experience as a Graphic Designer and has experimented with AI tools like ChatGPT. However, their experience is mainly in the IT sector and they lack direct experience in AI and ML systems. Additionally, their current role is not as an AI Engineer, but as a Graphic Designer."
"CAND_0003042",4,"The candidate has relevant experience in software engineering and ML-related technologies such as BentoML and CI/CD. However, there are notable gaps in their recent experience and specific skills required for the role, such as deep understanding of embeddings-based retrieval and fine-tuning of LLMs."
"CAND_0003076",3,"The candidate has relevant experience in cloud and fintech domains, but lacks deep technical depth in modern ML systems such as embeddings, retrieval, and fine-tuning LLMs, which are key requirements for the role."
"CAND_0003121",4,"The candidate has relevant experience in backend and data infrastructure, built a proper data warehouse, and has worked on SQL and Spark warehouses. She lacks hands-on experience with modern AI/ML frameworks such as embeddings, retrieval, and fine-tuning, but her background in data engineering aligns well with the role."
"CAND_0003147",4,"The candidate has relevant experience in cloud and backend systems and has taken some self-learner AI courses. However, they lack direct experience in fine-tuning LLMs and embedding-based retrieval systems."
"CAND_0003153",3,"The candidate has relevant experience in software engineering and QA, but lacks deep technical depth in modern ML systems such as embeddings, retrieval, ranking, LLMs, fine-tuning, and a scrappy product-engineering attitude."
"CAND_0003154",3,"The candidate has relevant experience in software engineering and cloud systems, which aligns with the role of Senior AI Engineer. However, they lack deep technical depth in modern ML systems such as embeddings, retrieval, ranking, and fine-tuning, as well as a scrappy product-engineering attitude."
"CAND_0003179",4,"The candidate has relevant experience as a Sales Executive and Marketing Manager, with 8.5 years of experience in the IT sector. They have experimented with AI tools such as ChatGPT, indicating they are familiar with the space. However, their current role is not as an AI Engineer, and they lack direct experience in modern ML systems, embeddings, retrieval, and fine-tuning."
"CAND_0003210",3,"The candidate has relevant industry experience as a Content Writer and Marketing Manager, which aligns with the Founding Team Company role. However, there are notable gaps in specific skills such as deep technical depth in modern ML systems and scrappy product-engineering attitude."
"CAND_0003320",3,"The candidate has relevant experience in backend systems and cloud technologies, which aligns with the role of Senior AI Engineer. However, they lack specific AI and ML skills and experience, particularly in fine-tuning LLMs, embeddings-based retrieval, and vector databases."
"CAND_0003326",3,"The candidate has relevant experience in software engineering and QA, which aligns with the role of Senior AI Engineer. However, they lack deep technical depth in modern ML systems such as embeddings, retrieval, ranking, LLMs, fine-tuning, and have not extensively contributed code in a professional capacity. Additionally, they have not contributed code in a professional capacity."
"CAND_0003361",4,"The candidate has relevant experience in software engineering and has built a small RAG side project. However, they lack direct experience in AI/ML systems and fine-tuning. The fit is strong as they have the necessary background and skills to contribute to the intelligence layer of the product."
"CAND_0003387",3,"The candidate has relevant experience in the IT industry and has worked as a Sales Executive and Graphic Designer, which aligns with the JD's requirement for a professional with 14.2+ years of experience in the IT sector. However, the candidate lacks specific AI and ML skills required for the role, such as embeddings, retrieval, and fine-tuning of language models."
"CAND_0003388",4,"The candidate has relevant industry experience as a Business Analyst and has experimented with AI tools such as ChatGPT. They have a strong background in stakeholder management and process re-engineering, which aligns with the JD's requirement for applying domain expertise alongside emerging AI capabilities. While their current experience is in a different role and size, the overlap in responsibilities and skills suggests they can adapt to the role of a Senior AI Engineer."
"CAND_0003420",3,"The candidate has relevant experience in data engineering and has built data warehouses and pipelines, which aligns with the JD's requirement for a senior AI engineer with 5-9 years of experience in modern ML systems such as embeddings, retrieval, ranking, LLMs, fine-tuning. However, there are notable gaps in their fine-tuning experience and their focus on product-engineering attitude rather than deep technical depth in modern ML systems."
"CAND_0003430",3,"The candidate has relevant industry experience as a Business Analyst with 1.3+ years of experience in IT Services. However, the candidate lacks specific AI and ML skills required for the role, such as embeddings, retrieval, and fine-tuning of language models."
"CAND_0003492",3,"The candidate has relevant experience in software engineering and has built small AI/ML projects, but lacks deep technical depth in modern ML systems such as embeddings, retrieval, and fine-tuning. Additionally, the candidate has not contributed any production code in the last 18 months, which is a disqualifier."
"CAND_0003531",4,"The candidate has relevant experience in data engineering and has built data pipelines and analytics infrastructure. However, she lacks direct experience in AI/ML systems and fine-tuning models, which are key requirements for the role."
"CAND_0003534",3,"The candidate has relevant experience in software engineering and cloud systems, but lacks deep technical depth in modern ML systems such as embeddings, retrieval, and fine-tuning. Additionally, the candidate has not contributed any production code in the last 18 months, which is a requirement."
"CAND_0003538",4,"The candidate has relevant experience in software engineering and DevOps, particularly in Java and Kafka systems, which aligns well with the role of Senior AI Engineer. However, the candidate lacks direct experience in AI and ML systems, which is a key requirement mentioned in the job description."
"CAND_0003557",4,"The candidate has relevant experience in applied machine learning and has built recommendation-style features at a mid-stage startup. However, they lack direct experience with ranking systems and fine-tuning LLMs, which are key components of the job description."
"CAND_0003591",4,"The candidate has relevant experience as a Graphic Designer and Accountant, which aligns with the JD's requirement for a Senior AI Engineer. While the candidate lacks direct AI engineering experience, they have a moderate fit due to their background in sales and marketing, as well as their understanding of AI tools like ChatGPT. The gaps are mainly in the specific AI engineering skills and the ability to work in a product-oriented environment."
"CAND_0003829",4,"The candidate has relevant experience in backend engineering and data infrastructure, which aligns with the role of Senior AI Engineer. While they lack direct experience in AI/ML systems, their extensive background in data engineering and software development suggests they could adapt to the role with additional training. They have strong skills in Python, SQL, and Spark, and have worked a couple of self-directed ML projects. Their strong background in data engineering and software development makes them a strong fit for the role."
